filepath,label
D:\ai_project\data\ecg_images\100_56502_normal.png,normal
D:\ai_project\data\ecg_images\100_56784_normal.png,normal
D:\ai_project\data\ecg_images\100_57055_normal.png,normal
D:\ai_project\data\ecg_images\100_57333_normal.png,normal
D:\ai_project\data\ecg_images\100_57615_normal.png,normal
D:\ai_project\data\ecg_images\100_57900_normal.png,normal
D:\ai_project\data\ecg_images\100_58192_normal.png,normal
D:\ai_project\data\ecg_images\100_58490_normal.png,normal
D:\ai_project\data\ecg_images\100_58788_normal.png,normal
D:\ai_project\data\ecg_images\100_59077_normal.png,normal
D:\ai_project\data\ecg_images\100_59354_normal.png,normal
D:\ai_project\data\ecg_images\100_59631_normal.png,normal
D:\ai_project\data\ecg_images\100_59919_normal.png,normal
D:\ai_project\data\ecg_images\100_60214_normal.png,normal
D:\ai_project\data\ecg_images\100_60515_normal.png,normal
D:\ai_project\data\ecg_images\100_60817_normal.png,normal
D:\ai_project\data\ecg_images\100_61105_normal.png,normal
D:\ai_project\data\ecg_images\100_61391_normal.png,normal
D:\ai_project\data\ecg_images\100_61680_normal.png,normal
D:\ai_project\data\ecg_images\100_61963_normal.png,normal
D:\ai_project\data\ecg_images\100_62247_normal.png,normal
D:\ai_project\data\ecg_images\100_62547_normal.png,normal
D:\ai_project\data\ecg_images\100_62852_normal.png,normal
D:\ai_project\data\ecg_images\100_63154_normal.png,normal
D:\ai_project\data\ecg_images\100_63438_normal.png,normal
D:\ai_project\data\ecg_images\100_63711_normal.png,normal
D:\ai_project\data\ecg_images\100_63998_normal.png,normal
D:\ai_project\data\ecg_images\100_64288_normal.png,normal
D:\ai_project\data\ecg_images\100_64581_normal.png,normal
D:\ai_project\data\ecg_images\100_64876_normal.png,normal
D:\ai_project\data\ecg_images\100_65174_normal.png,normal
D:\ai_project\data\ecg_images\100_65464_normal.png,normal
D:\ai_project\data\ecg_images\100_65750_normal.png,normal
D:\ai_project\data\ecg_images\100_66030_normal.png,normal
D:\ai_project\data\ecg_images\100_66307_normal.png,normal
D:\ai_project\data\ecg_images\100_66604_normal.png,normal
D:\ai_project\data\ecg_images\100_66792_arrhythmia.png,arrhythmia
D:\ai_project\data\ecg_images\100_67130_normal.png,normal
D:\ai_project\data\ecg_images\100_67434_normal.png,normal
D:\ai_project\data\ecg_images\100_67728_normal.png,normal
D:\ai_project\data\ecg_images\100_68007_normal.png,normal
D:\ai_project\data\ecg_images\100_68302_normal.png,normal
D:\ai_project\data\ecg_images\100_68594_normal.png,normal
D:\ai_project\data\ecg_images\100_68886_normal.png,normal
D:\ai_project\data\ecg_images\100_69191_normal.png,normal
D:\ai_project\data\ecg_images\100_69503_normal.png,normal
D:\ai_project\data\ecg_images\100_69796_normal.png,normal
D:\ai_project\data\ecg_images\100_70073_normal.png,normal
D:\ai_project\data\ecg_images\100_70357_normal.png,normal
D:\ai_project\data\ecg_images\100_70643_normal.png,normal
D:\ai_project\data\ecg_images\100_70941_normal.png,normal
D:\ai_project\data\ecg_images\100_71240_normal.png,normal
D:\ai_project\data\ecg_images\100_71539_normal.png,normal
D:\ai_project\data\ecg_images\100_71845_normal.png,normal
D:\ai_project\data\ecg_images\100_72138_normal.png,normal
D:\ai_project\data\ecg_images\100_72417_normal.png,normal
D:\ai_project\data\ecg_images\100_72703_normal.png,normal
D:\ai_project\data\ecg_images\100_72998_normal.png,normal
D:\ai_project\data\ecg_images\100_73301_normal.png,normal
D:\ai_project\data\ecg_images\100_73611_normal.png,normal
D:\ai_project\data\ecg_images\100_73911_normal.png,normal
D:\ai_project\data\ecg_images\100_74196_normal.png,normal
D:\ai_project\data\ecg_images\100_74483_normal.png,normal
D:\ai_project\data\ecg_images\100_74767_normal.png,normal
D:\ai_project\data\ecg_images\100_74986_arrhythmia.png,arrhythmia
D:\ai_project\data\ecg_images\100_75332_normal.png,normal
D:\ai_project\data\ecg_images\100_75632_normal.png,normal
D:\ai_project\data\ecg_images\100_75934_normal.png,normal
D:\ai_project\data\ecg_images\100_76233_normal.png,normal
D:\ai_project\data\ecg_images\100_76515_normal.png,normal
D:\ai_project\data\ecg_images\100_76785_normal.png,normal
D:\ai_project\data\ecg_images\100_77074_normal.png,normal
D:\ai_project\data\ecg_images\100_77366_normal.png,normal
D:\ai_project\data\ecg_images\100_77663_normal.png,normal
D:\ai_project\data\ecg_images\100_77954_normal.png,normal
D:\ai_project\data\ecg_images\100_78251_normal.png,normal
D:\ai_project\data\ecg_images\100_78539_normal.png,normal
D:\ai_project\data\ecg_images\100_78824_normal.png,normal
D:\ai_project\data\ecg_images\100_79100_normal.png,normal
D:\ai_project\data\ecg_images\100_79386_normal.png,normal
D:\ai_project\data\ecg_images\100_79689_normal.png,normal
D:\ai_project\data\ecg_images\100_79991_normal.png,normal
D:\ai_project\data\ecg_images\100_80290_normal.png,normal
D:\ai_project\data\ecg_images\100_80583_normal.png,normal
D:\ai_project\data\ecg_images\100_80868_normal.png,normal
D:\ai_project\data\ecg_images\100_81152_normal.png,normal
D:\ai_project\data\ecg_images\100_81439_normal.png,normal
D:\ai_project\data\ecg_images\100_81730_normal.png,normal
D:\ai_project\data\ecg_images\100_82030_normal.png,normal
D:\ai_project\data\ecg_images\100_82335_normal.png,normal
D:\ai_project\data\ecg_images\100_82636_normal.png,normal
D:\ai_project\data\ecg_images\100_82927_normal.png,normal
D:\ai_project\data\ecg_images\100_83209_normal.png,normal
D:\ai_project\data\ecg_images\100_83492_normal.png,normal
D:\ai_project\data\ecg_images\100_83794_normal.png,normal
D:\ai_project\data\ecg_images\100_84103_normal.png,normal
D:\ai_project\data\ecg_images\100_84407_normal.png,normal
D:\ai_project\data\ecg_images\100_84709_normal.png,normal
D:\ai_project\data\ecg_images\100_85010_normal.png,normal
D:\ai_project\data\ecg_images\100_85303_normal.png,normal
D:\ai_project\data\ecg_images\100_85580_normal.png,normal
D:\ai_project\data\ecg_images\100_85870_normal.png,normal
D:\ai_project\data\ecg_images\100_86171_normal.png,normal
D:\ai_project\data\ecg_images\100_86478_normal.png,normal
D:\ai_project\data\ecg_images\100_86780_normal.png,normal
D:\ai_project\data\ecg_images\100_87079_normal.png,normal
D:\ai_project\data\ecg_images\100_87364_normal.png,normal
D:\ai_project\data\ecg_images\100_87652_normal.png,normal
D:\ai_project\data\ecg_images\100_87941_normal.png,normal
D:\ai_project\data\ecg_images\100_88232_normal.png,normal
D:\ai_project\data\ecg_images\100_88530_normal.png,normal
D:\ai_project\data\ecg_images\100_88834_normal.png,normal
D:\ai_project\data\ecg_images\100_89135_normal.png,normal
D:\ai_project\data\ecg_images\100_89421_normal.png,normal
D:\ai_project\data\ecg_images\100_89703_normal.png,normal
D:\ai_project\data\ecg_images\100_89988_normal.png,normal
D:\ai_project\data\ecg_images\100_90286_normal.png,normal
D:\ai_project\data\ecg_images\100_90590_normal.png,normal
D:\ai_project\data\ecg_images\100_90885_normal.png,normal
D:\ai_project\data\ecg_images\100_91190_normal.png,normal
D:\ai_project\data\ecg_images\100_91481_normal.png,normal
D:\ai_project\data\ecg_images\100_91761_normal.png,normal
D:\ai_project\data\ecg_images\100_92046_normal.png,normal
D:\ai_project\data\ecg_images\100_92338_normal.png,normal
D:\ai_project\data\ecg_images\100_92633_normal.png,normal
D:\ai_project\data\ecg_images\100_92944_normal.png,normal
D:\ai_project\data\ecg_images\100_93246_normal.png,normal
D:\ai_project\data\ecg_images\100_93534_normal.png,normal
D:\ai_project\data\ecg_images\100_93824_normal.png,normal
D:\ai_project\data\ecg_images\100_94102_normal.png,normal
D:\ai_project\data\ecg_images\100_94395_normal.png,normal
D:\ai_project\data\ecg_images\100_94693_normal.png,normal
D:\ai_project\data\ecg_images\100_94996_normal.png,normal
D:\ai_project\data\ecg_images\100_95298_normal.png,normal
D:\ai_project\data\ecg_images\100_95606_normal.png,normal
D:\ai_project\data\ecg_images\100_95893_normal.png,normal
D:\ai_project\data\ecg_images\100_96171_normal.png,normal
D:\ai_project\data\ecg_images\100_96450_normal.png,normal
D:\ai_project\data\ecg_images\100_96746_normal.png,normal
D:\ai_project\data\ecg_images\100_97050_normal.png,normal
D:\ai_project\data\ecg_images\100_97348_normal.png,normal
D:\ai_project\data\ecg_images\100_97644_normal.png,normal
D:\ai_project\data\ecg_images\100_97936_normal.png,normal
D:\ai_project\data\ecg_images\100_98228_normal.png,normal
D:\ai_project\data\ecg_images\100_98508_normal.png,normal
D:\ai_project\data\ecg_images\100_98789_normal.png,normal
D:\ai_project\data\ecg_images\100_99084_normal.png,normal
D:\ai_project\data\ecg_images\100_99382_normal.png,normal
D:\ai_project\data\ecg_images\100_99579_arrhythmia.png,arrhythmia
D:\ai_project\data\ecg_images\100_99930_normal.png,normal
D:\ai_project\data\ecg_images\100_100218_normal.png,normal
D:\ai_project\data\ecg_images\100_100496_normal.png,normal
D:\ai_project\data\ecg_images\100_100781_normal.png,normal
D:\ai_project\data\ecg_images\100_101071_normal.png,normal
D:\ai_project\data\ecg_images\100_101361_normal.png,normal
D:\ai_project\data\ecg_images\100_101653_normal.png,normal
D:\ai_project\data\ecg_images\100_101941_normal.png,normal
D:\ai_project\data\ecg_images\100_102234_normal.png,normal
D:\ai_project\data\ecg_images\100_102516_normal.png,normal
D:\ai_project\data\ecg_images\100_102793_normal.png,normal
D:\ai_project\data\ecg_images\100_103074_normal.png,normal
D:\ai_project\data\ecg_images\100_103371_normal.png,normal
D:\ai_project\data\ecg_images\100_103669_normal.png,normal
D:\ai_project\data\ecg_images\100_103964_normal.png,normal
D:\ai_project\data\ecg_images\100_104261_normal.png,normal
D:\ai_project\data\ecg_images\100_104545_normal.png,normal
D:\ai_project\data\ecg_images\100_104830_normal.png,normal
D:\ai_project\data\ecg_images\100_105118_normal.png,normal
D:\ai_project\data\ecg_images\100_105407_normal.png,normal
D:\ai_project\data\ecg_images\100_105707_normal.png,normal
D:\ai_project\data\ecg_images\100_106015_normal.png,normal
D:\ai_project\data\ecg_images\100_106314_normal.png,normal
D:\ai_project\data\ecg_images\100_106600_normal.png,normal
D:\ai_project\data\ecg_images\100_106882_normal.png,normal
D:\ai_project\data\ecg_images\100_107159_normal.png,normal
D:\ai_project\data\ecg_images\100_107453_normal.png,normal
D:\ai_project\data\ecg_images\100_107750_normal.png,normal
D:\ai_project\data\ecg_images\100_108045_normal.png,normal
D:\ai_project\data\ecg_images\100_108342_normal.png,normal
D:\ai_project\data\ecg_images\100_108643_normal.png,normal
D:\ai_project\data\ecg_images\100_108926_normal.png,normal
D:\ai_project\data\ecg_images\100_109199_normal.png,normal
D:\ai_project\data\ecg_images\100_109486_normal.png,normal
D:\ai_project\data\ecg_images\100_109772_normal.png,normal
D:\ai_project\data\ecg_images\100_110076_normal.png,normal
D:\ai_project\data\ecg_images\100_110374_normal.png,normal
D:\ai_project\data\ecg_images\100_110673_normal.png,normal
D:\ai_project\data\ecg_images\100_110963_normal.png,normal
D:\ai_project\data\ecg_images\100_111244_normal.png,normal
D:\ai_project\data\ecg_images\100_111524_normal.png,normal
D:\ai_project\data\ecg_images\100_111810_normal.png,normal
D:\ai_project\data\ecg_images\100_112108_normal.png,normal
D:\ai_project\data\ecg_images\100_112405_normal.png,normal
D:\ai_project\data\ecg_images\100_112710_normal.png,normal
D:\ai_project\data\ecg_images\100_113000_normal.png,normal
D:\ai_project\data\ecg_images\100_113281_normal.png,normal
D:\ai_project\data\ecg_images\100_113562_normal.png,normal
D:\ai_project\data\ecg_images\100_113850_normal.png,normal
D:\ai_project\data\ecg_images\100_114142_normal.png,normal
D:\ai_project\data\ecg_images\100_114428_normal.png,normal
D:\ai_project\data\ecg_images\100_114716_normal.png,normal
D:\ai_project\data\ecg_images\100_115000_normal.png,normal
D:\ai_project\data\ecg_images\100_115280_normal.png,normal
D:\ai_project\data\ecg_images\100_115547_normal.png,normal
D:\ai_project\data\ecg_images\100_115815_normal.png,normal
D:\ai_project\data\ecg_images\100_116084_normal.png,normal
D:\ai_project\data\ecg_images\100_116369_normal.png,normal
D:\ai_project\data\ecg_images\100_116654_normal.png,normal
D:\ai_project\data\ecg_images\100_116939_normal.png,normal
D:\ai_project\data\ecg_images\100_117213_normal.png,normal
D:\ai_project\data\ecg_images\100_117494_normal.png,normal
D:\ai_project\data\ecg_images\100_117766_normal.png,normal
D:\ai_project\data\ecg_images\100_118044_normal.png,normal
D:\ai_project\data\ecg_images\100_118323_normal.png,normal
D:\ai_project\data\ecg_images\100_118607_normal.png,normal
D:\ai_project\data\ecg_images\100_118911_normal.png,normal
D:\ai_project\data\ecg_images\100_119215_normal.png,normal
D:\ai_project\data\ecg_images\100_119509_normal.png,normal
D:\ai_project\data\ecg_images\100_119791_normal.png,normal
D:\ai_project\data\ecg_images\100_120077_normal.png,normal
D:\ai_project\data\ecg_images\100_120376_normal.png,normal
D:\ai_project\data\ecg_images\100_120676_normal.png,normal
D:\ai_project\data\ecg_images\100_120990_normal.png,normal
D:\ai_project\data\ecg_images\100_121300_normal.png,normal
D:\ai_project\data\ecg_images\100_121604_normal.png,normal
D:\ai_project\data\ecg_images\100_121889_normal.png,normal
D:\ai_project\data\ecg_images\100_122170_normal.png,normal
D:\ai_project\data\ecg_images\100_122460_normal.png,normal
D:\ai_project\data\ecg_images\100_122750_normal.png,normal
D:\ai_project\data\ecg_images\100_123050_normal.png,normal
D:\ai_project\data\ecg_images\100_123360_normal.png,normal
D:\ai_project\data\ecg_images\100_123664_normal.png,normal
D:\ai_project\data\ecg_images\100_123936_normal.png,normal
D:\ai_project\data\ecg_images\100_124221_normal.png,normal
D:\ai_project\data\ecg_images\100_124507_normal.png,normal
D:\ai_project\data\ecg_images\100_124775_normal.png,normal
D:\ai_project\data\ecg_images\100_125060_normal.png,normal
D:\ai_project\data\ecg_images\100_125355_normal.png,normal
D:\ai_project\data\ecg_images\100_125648_normal.png,normal
D:\ai_project\data\ecg_images\100_125926_normal.png,normal
D:\ai_project\data\ecg_images\100_126203_normal.png,normal
D:\ai_project\data\ecg_images\100_126476_normal.png,normal
D:\ai_project\data\ecg_images\100_126746_normal.png,normal
D:\ai_project\data\ecg_images\100_127025_normal.png,normal
D:\ai_project\data\ecg_images\100_127313_normal.png,normal
D:\ai_project\data\ecg_images\100_127603_normal.png,normal
D:\ai_project\data\ecg_images\100_127892_normal.png,normal
D:\ai_project\data\ecg_images\100_128085_arrhythmia.png,arrhythmia
D:\ai_project\data\ecg_images\100_128423_normal.png,normal
D:\ai_project\data\ecg_images\100_128698_normal.png,normal
D:\ai_project\data\ecg_images\100_128958_normal.png,normal
D:\ai_project\data\ecg_images\100_129230_normal.png,normal
D:\ai_project\data\ecg_images\100_129519_normal.png,normal
D:\ai_project\data\ecg_images\100_129798_normal.png,normal
D:\ai_project\data\ecg_images\100_130057_normal.png,normal
D:\ai_project\data\ecg_images\100_130318_normal.png,normal
D:\ai_project\data\ecg_images\100_130568_normal.png,normal
D:\ai_project\data\ecg_images\100_130818_normal.png,normal
D:\ai_project\data\ecg_images\100_131073_normal.png,normal
D:\ai_project\data\ecg_images\100_131326_normal.png,normal
D:\ai_project\data\ecg_images\100_131584_normal.png,normal
D:\ai_project\data\ecg_images\100_131851_normal.png,normal
D:\ai_project\data\ecg_images\100_132122_normal.png,normal
D:\ai_project\data\ecg_images\100_132381_normal.png,normal
D:\ai_project\data\ecg_images\100_132629_normal.png,normal
D:\ai_project\data\ecg_images\100_132883_normal.png,normal
D:\ai_project\data\ecg_images\100_133132_normal.png,normal
D:\ai_project\data\ecg_images\100_133390_normal.png,normal
D:\ai_project\data\ecg_images\100_133662_normal.png,normal
D:\ai_project\data\ecg_images\100_133933_normal.png,normal
D:\ai_project\data\ecg_images\100_134197_normal.png,normal
D:\ai_project\data\ecg_images\100_134463_normal.png,normal
D:\ai_project\data\ecg_images\100_134737_normal.png,normal
D:\ai_project\data\ecg_images\100_134990_normal.png,normal
D:\ai_project\data\ecg_images\100_135243_normal.png,normal
D:\ai_project\data\ecg_images\100_135504_normal.png,normal
D:\ai_project\data\ecg_images\100_135780_normal.png,normal
D:\ai_project\data\ecg_images\100_136061_normal.png,normal
D:\ai_project\data\ecg_images\100_136350_normal.png,normal
D:\ai_project\data\ecg_images\100_136630_normal.png,normal
D:\ai_project\data\ecg_images\100_136899_normal.png,normal
D:\ai_project\data\ecg_images\100_137170_normal.png,normal
D:\ai_project\data\ecg_images\100_137449_normal.png,normal
D:\ai_project\data\ecg_images\100_137729_normal.png,normal
D:\ai_project\data\ecg_images\100_138008_normal.png,normal
D:\ai_project\data\ecg_images\100_138304_normal.png,normal
D:\ai_project\data\ecg_images\100_138598_normal.png,normal
D:\ai_project\data\ecg_images\100_138888_normal.png,normal
